"","Gene.Symbol","ProbeID.x","logFC.x","AveExpr.x","t.x","P.Value.x","adj.P.Val.x","B.x","ProbeID.y","logFC.y","AveExpr.y","t.y","P.Value.y","adj.P.Val.y","B.y","ProbeID","logFC","AveExpr","t","P.Value","adj.P.Val","B","fisher_stat","df","fisher_p","adj_fisher_p"
"1764","ITPKB","235213_at",2.13701514738376,5.45889388549026,12.1701488587159,1.30643193536341e-24,8.9286457582493e-21,45.242558955809,"203723_at",-0.814756954743823,10.7053632370625,-7.5639567693423,7.15944626010869e-13,9.14720884888179e-10,18.7583609507222,"7924760",0.325280215961344,8.99132832363795,3.91396407386161,0.000186620466710795,0.00556302746649001,0.590819836878897,183.092699372756,6,7.47592245520732e-37,1.24518964413933e-32
"1979","LPP","214902_x_at",0.957979707051456,7.34012768462809,11.16528496337,7.95994270220015e-22,1.06148748107998e-18,38.9665165029432,"202822_at",-0.483076861802889,8.69135717554899,-7.64005986616243,4.43387149118929e-13,7.8376269026729e-10,19.2180026947506,"8084742",0.127090521406299,9.75526043833031,1.87280329052021,0.0646571629574914,0.214345833830704,-4.54593831332242,159.530879417914,6,7.44384615971092e-32,6.19923508180725e-28
"370","BCL6","228758_at",1.45386957243976,6.10702767925188,9.89610483870881,2.36365900182589e-18,6.30405150852833e-16,31.1394355119794,"228758_at",-0.928159646761544,7.96975759272329,-8.24211272290388,9.0835974364806e-15,7.09493842627967e-11,22.9506996531739,"8092691",0.259458270169837,9.71687030787858,2.95865360323144,0.00403646014440294,0.0394668955993412,-2.17850104581441,156.86202818263,6,2.73440234306179e-31,1.51814018086791e-27
"2022","MAFF","36711_at",2.38340977469741,6.63948795155907,10.4984733467963,5.4246380841974e-20,2.72102832342654e-17,34.8338241264655,"36711_at",-1.36165403194038,7.07997331887626,-7.56501992742575,7.11182279716427e-13,9.14720884888179e-10,18.7647624785982,"8073007",0.146888883415996,7.44461122074831,2.78596443048745,0.00662694420886773,0.0537673208144311,-2.61505278629851,154.698419573997,6,7.84828920019003e-31,3.26802762295913e-27
"3063","RFX4","223673_at",1.58916726373772,6.37165083056281,9.23618918117007,1.39079649141059e-16,1.82354432057251e-14,27.152556185489,"223673_at",-1.08373398554527,8.15873550799168,-7.84330423522614,1.21622511259261e-13,3.69428377950007e-10,20.45929330983,"7958305",0.389404594557718,8.92578800255534,4.22150673029888,6.23240353095104e-05,0.00283885554541829,1.59511430946531,151.865005227112,6,3.12029901698021e-30,1.03943400853645e-26
"1269","FARSB","223035_s_at",-1.00469722517162,8.85035131872722,-11.0135652149817,2.08661983640588e-21,2.37679040740608e-18,38.0231290788956,"223035_s_at",0.252405951837895,9.66731086724387,5.75072781887849,2.54308889954566e-08,9.23262852474493e-07,8.74516747512173,"8059319",-0.284215321760875,10.3612610440788,-4.45351404404919,2.64377494014101e-05,0.00167514895797145,2.38405203088697,151.293520932942,6,4.12155298281959e-30,1.14414310803072e-26
"3423","SLC7A2","225516_at",1.64510348919047,6.60509620998782,9.08457704090053,3.50817335690305e-16,3.9877209623425e-14,26.2476666176808,"225516_at",-1.05375732401069,8.41214836025566,-9.05958781448652,3.59724163990467e-17,1.47903817101919e-12,28.2677745921771,"8144786",0.224563395064061,9.71090980678188,1.32853672855612,0.187684151951851,0.397817760999476,-5.36579854395349,150.246080018213,6,6.86365510254186e-30,1.63315770554196e-26
"1751","ITFG1","221449_s_at",-1.64751844181035,5.68379601828836,-10.3219115611776,1.64742429242323e-19,6.59821590583291e-17,33.7464495982534,"1556151_at",0.330238196304403,8.53182830999824,6.7716400890699,8.78789131551081e-11,2.05332460545108e-08,14.1507360677563,"8001211",-0.291947226375205,10.7708951120054,-3.89927932926041,0.000196417322490802,0.0057470189692234,0.544119916139915,149.880467870591,6,8.20085430516572e-30,1.7074178663355e-26
"2937","PTPN3","227944_at",-0.836813497952288,5.46342315238638,-10.5038233600993,5.24481075455354e-20,2.65518544449273e-17,34.8668245272187,"227944_at",0.570664788086491,6.45867672228457,6.98588668242535,2.47435390985326e-11,8.84217647197563e-09,15.363439832771,"8163149",-0.264727742407278,8.03409395272754,-2.86083368222275,0.00535812236143338,0.0468912786189042,-2.42839706744943,148.092122156576,6,1.95842607424701e-29,3.6243938547398e-26
"3345","SLC12A7","218066_at",1.20013721038122,6.94755844834302,11.2118789290535,5.9189035599829e-22,8.98933478172402e-19,39.2565358309241,"218066_at",-0.317815197537673,8.74790744972344,-6.81550535018693,6.79355645219453e-11,1.72612440842363e-08,14.3969374135568,"8110755",-0.0458646650339007,7.59139477022599,-1.16660667793612,0.246748842633076,0.465390065319674,-5.55844706421281,147.381133110524,6,2.76804362558153e-29,4.6104534627686e-26
