"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0099003","vesicle-mediated transport in synapse","124/3836","258/18986",0.48062015503876,2.37879412501718,11.2202326082607,6.07628027435459e-24,3.82927182889826e-20,2.89358862749265e-20,"AAK1/ACTB/AMPH/AP2A1/AP2A2/AP2B1/AP2M1/AP2S1/AP3B2/AP3M2/AP3S1/ARPC3/ATAD1/ATP2A2/ATP6AP1/ATP6AP2/ATP6V0A1/ATP6V0C/ATP6V0D1/ATP6V1A/ATP6V1B2/ATP6V1C1/ATP6V1D/ATP6V1E1/ATP6V1G1/ATP6V1H/ATP8A1/BIN1/BLOC1S6/BSN/C9orf72/CACNB4/CADPS/CADPS2/CALM1/CALY/CANX/CDH2/CDK5/CDK5R1/CLCN3/CLTA/CLTB/CPLX1/CPLX2/CSPG5/CTBP1/CTNNB1/DNAJC6/DNM1/DNM3/DOC2A/DTNBP1/DVL1/ERC2/FBXO45/GIT2/HIP1/HPCA/ITSN1/LPAR1/LRRK2/MYLK/NAPA/NAPB/NCDN/NLGN4Y/NRG1/NRXN1/NSG1/P2RX7/PACSIN1/PARK7/PCLO/PFN2/PPFIA2/PPP3CB/PPP3R1/PREPL/PRKAR1B/PRKCB/PRKCG/RAB27B/RAB3B/RABEP1/RAP1A/RIMS1/ROCK1/RPH3A/SCRIB/SGIP1/SH3GL2/SH3GL3/SLC17A6/SLC17A7/SLC32A1/SLC4A8/SNAP25/SNAP29/SNAP91/SNCA/SNCB/STON2/STX1A/STXBP1/SUSD4/SV2B/SYN1/SYN2/SYNDIG1/SYNE1/SYNGR3/SYNJ1/SYNJ2/SYP/SYT1/SYT4/SYT5/TOR1A/TPRG1L/UNC13A/UNC13B/VAMP2/VPS35",124
"GO:0099504","synaptic vesicle cycle","111/3836","222/18986",0.5,2.47471324296142,11.1214045513147,2.46894705751835e-23,7.77965217824033e-20,5.87869288853318e-20,"ACTB/AMPH/AP2A1/AP2A2/AP2B1/AP2M1/AP2S1/AP3B2/AP3M2/AP3S1/ARPC3/ATP2A2/ATP6AP1/ATP6AP2/ATP6V0A1/ATP6V0C/ATP6V0D1/ATP6V1A/ATP6V1B2/ATP6V1C1/ATP6V1D/ATP6V1E1/ATP6V1G1/ATP6V1H/ATP8A1/BIN1/BLOC1S6/BSN/C9orf72/CACNB4/CADPS/CADPS2/CANX/CDH2/CDK5/CDK5R1/CLCN3/CLTA/CLTB/CPLX1/CPLX2/CSPG5/CTBP1/CTNNB1/DNAJC6/DNM1/DNM3/DOC2A/DTNBP1/DVL1/ERC2/FBXO45/GIT2/ITSN1/LPAR1/LRRK2/MYLK/NAPA/NAPB/NLGN4Y/NRXN1/P2RX7/PACSIN1/PARK7/PCLO/PFN2/PPFIA2/PPP3CB/PPP3R1/PREPL/PRKAR1B/PRKCB/PRKCG/RAB27B/RAB3B/RAP1A/RIMS1/ROCK1/RPH3A/SCRIB/SGIP1/SH3GL2/SH3GL3/SLC17A6/SLC17A7/SLC32A1/SLC4A8/SNAP25/SNAP29/SNAP91/SNCA/SNCB/STON2/STX1A/STXBP1/SV2B/SYN1/SYN2/SYNDIG1/SYNGR3/SYNJ1/SYNJ2/SYP/SYT1/SYT4/SYT5/TOR1A/TPRG1L/UNC13A/UNC13B/VAMP2",111
"GO:0010975","regulation of neuron projection development","171/3836","452/18986",0.378318584070796,1.87246002011683,9.4464462212883,1.71887936228938e-18,3.61079258038256e-15,2.72849481929725e-15,"ABL1/ABL2/AMIGO1/AP2A1/ARHGAP35/ATOH7/ATP1B2/ATP8A2/BAG5/BDNF/BMP7/BMPR2/CAMK1/CAMK2B/CAPRIN1/CAPRIN2/CBFA2T2/CCDC88A/CDK5/CDK5R1/CDKL3/CFLAR/CHN1/CNR1/CNTN1/CRMP1/CSMD3/CUX1/CUX2/CX3CL1/DAB1/DCC/DDR2/DGKG/DGUOK/DHX36/DNM3/DTNBP1/DVL1/EFNA1/EFNA5/EFNB3/ELAVL4/ENC1/EP300/EPHA4/FBXO7/FGF13/FGFR1/FKBP1B/FN1/FYN/GFAP/GSK3B/HECW1/HES1/IFRD1/IGF1R/INPP5F/ITGA6/KANK1/KAT2B/KATNB1/KDM1A/KIAA0319/KIF13B/KIF21A/KLF4/KREMEN1/LPAR1/LRP4/LRRC4C/LRRC7/LRRK2/MACF1/MAGI2/MAP1B/MAP2/MAP2K1/MAP3K13/MAP6/MAPT/MARK1/MCF2/METRN/MYLIP/NCS1/NDEL1/NDRG4/NEDD4L/NEFL/NEGR1/NEO1/NFATC4/NGEF/NOVA2/NR2E1/NR2F1/NRCAM/NTNG1/NTRK2/NTRK3/PACSIN1/PAFAH1B1/PAK1/PAK3/PAX6/PDLIM5/PLXNB1/PLXNB2/PLXNC1/PMP22/POU3F2/PPFIA2/PPP3CA/PQBP1/PREX1/PRRX1/PTN/PTPRF/PTPRO/RAP1A/RGMA/RGS2/RIT2/ROBO2/ROBO3/RTCA/RTN4/RTN4IP1/RTN4R/RTN4RL1/RTN4RL2/RUFY3/S100A9/SDC2/SEMA3F/SEMA3G/SEMA4F/SEMA6D/SERPINI1/SETX/SIPA1L1/SLC39A12/SLIT2/SLITRK1/SNAP25/SNX3/SPOCK1/SPP1/SRCIN1/STAU2/STK11/STMN2/SYNE1/TBR1/THOC2/THY1/TIAM1/TIAM2/TMEM30A/TNIK/TRAK1/TWF1/UBE3A/ULK2/VIM/VLDLR/XK/YWHAH/ZNF365",171
"GO:0007409","axonogenesis","167/3836","459/18986",0.363834422657952,1.80077172799371,8.73878002176116,3.22251485590559e-16,5.07707215547926e-13,3.83648873897813e-13,"ABL1/ACTB/ADARB1/ADCY1/AFG3L2/ALCAM/AMIGO1/ANK3/APLP2/ARHGAP35/ARHGEF40/ATL1/ATOH7/ATP8A2/AUTS2/B4GALT6/BCL2/BDNF/BMP7/BMPR1B/BMPR2/BOC/C9orf72/CCK/CDK5/CDK5R1/CDK5R2/CDKL3/CHL1/CHN1/CLASP2/CNTN1/CNTN4/CNTN5/CTTN/CYFIP2/DAB1/DCC/DCLK1/DVL1/ECE1/EFNA1/EFNA5/EFNB3/EPHA4/EPHA5/EPHB6/FBXO45/FEZ2/FGF13/FGFR2/FLOT1/FLRT3/FN1/FYN/GAP43/GLI3/GSK3B/IFRD1/IGF1R/ITGB1/KALRN/KIAA0319/KIF13B/KIF21A/KLF7/LAMB2/LGI1/LLGL1/LMO4/LRP4/LRRC4C/MACF1/MAP1B/MAP1S/MAP2/MAP2K1/MAP3K13/MAP6/MAPT/MCF2/METRN/MYOT/NCAM1/NDEL1/NDN/NEFH/NEFL/NELL2/NEO1/NFASC/NFIB/NOTCH1/NOTCH2/NOVA2/NPTX1/NR2E1/NRCAM/NRXN1/NRXN3/NTNG1/NTRK2/OLFM1/PAFAH1B1/PAK1/PAK3/PALLD/PARD3/PAX6/PITPNA/PLXNB1/PLXNB2/PLXNC1/POU3F2/PPP3CB/PRICKLE1/PTCH1/PTPRM/PTPRO/PTPRZ1/RAC1/RAPH1/RGMA/ROBO2/ROBO3/ROBO4/RPL24/RPS6KA5/RTN4/RTN4R/RUFY3/SEMA3F/SEMA3G/SEMA4C/SEMA4F/SEMA6D/SIPA1L1/SLC25A46/SLC9A6/SLIT2/SLIT3/SLITRK1/SLITRK3/SLITRK4/SLITRK5/SNAP25/SPG11/SPG21/SPP1/STK11/STMN1/STXBP1/SZT2/TBR1/THY1/TIAM1/TIAM2/TRAK1/TRIO/TTC8/UCHL1/ULK2/UNC5B/USP9X/WDR47/XK/ZDHHC17",167
"GO:0032543","mitochondrial translation","67/3836","131/18986",0.511450381679389,2.53138606531931,8.85004245308793,2.85016002455303e-15,3.59234169494664e-12,2.71455241075324e-12,"C1QBP/CHCHD1/COA3/DAP3/EARS2/FASTKD3/GADD45GIP1/GFM1/GFM2/IARS2/LRPPRC/MALSU1/MRPL1/MRPL13/MRPL14/MRPL15/MRPL17/MRPL18/MRPL2/MRPL21/MRPL22/MRPL23/MRPL24/MRPL27/MRPL3/MRPL30/MRPL32/MRPL34/MRPL35/MRPL36/MRPL37/MRPL39/MRPL40/MRPL43/MRPL46/MRPL47/MRPL48/MRPL52/MRPL54/MRPL55/MRPL9/MRPS10/MRPS11/MRPS12/MRPS14/MRPS15/MRPS17/MRPS18C/MRPS2/MRPS21/MRPS22/MRPS23/MRPS25/MRPS30/MRPS33/MRPS35/MRPS5/MRPS7/MRPS9/NGRN/OXA1L/PTCD3/RARS2/RMND1/TRMT10C/TUFM/YARS2",67
"GO:0051648","vesicle localization","97/3836","225/18986",0.431111111111111,2.13375275170896,8.60834977646324,3.93362773437403e-15,4.13162033033752e-12,3.12205822286107e-12,"AP3B2/AP3M2/AP3S1/ARL6/ATP13A2/ATP9A/BBS7/BLOC1S2/BLOC1S6/BSN/CADPS/CADPS2/CDH2/CDK5/CHMP2A/CLASP2/COPS5/CTBP1/CTNNB1/CUL3/DCTN2/DNM1/DNM3/DTNBP1/DYNC1I1/EXOC1/EXOC2/EXOC3/EXOC6/EXOC6B/EXOC7/EXOC8/FYCO1/HTT/KIF13A/KIF13B/KIF1B/KIF1C/KIF3A/KIF3B/KIFAP3/LIMK2/LIN7A/LIN7B/LIN7C/LRRK2/MAP2/MKKS/MYO1C/MYO5A/NDE1/NDEL1/NRXN1/PAFAH1B1/PCLO/PDCD6IP/PEF1/PINK1/PPFIA2/PRKCZ/RAB11A/RAB1A/SAR1A/SCRIB/SHROOM2/SNAP25/SNAP29/SNAP91/SNCA/SPG11/STAM/STARD3NL/STK11/STXBP1/SYBU/SYN1/SYN2/SYNDIG1/SYNJ1/SYT4/TCIRG1/TMED10/TOR1A/TRAK1/TRAPPC10/TRAPPC12/TRAPPC2L/TRAPPC3/TRAPPC5/TRAPPC6B/TSG101/UNC13A/UNC13B/USO1/VPS33B/WASL/WDR11",97
"GO:0140053","mitochondrial gene expression","78/3836","169/18986",0.461538461538462,2.28435068581054,8.43898209369927,2.29880472049637e-14,2.06958104979544e-11,1.56387857977828e-11,"C1QBP/CHCHD1/CHCHD10/COA3/DAP3/EARS2/FASTK/FASTKD3/GADD45GIP1/GFM1/GFM2/IARS2/KANSL1/LRPPRC/MALSU1/MRPL1/MRPL13/MRPL14/MRPL15/MRPL17/MRPL18/MRPL2/MRPL21/MRPL22/MRPL23/MRPL24/MRPL27/MRPL3/MRPL30/MRPL32/MRPL34/MRPL35/MRPL36/MRPL37/MRPL39/MRPL40/MRPL43/MRPL46/MRPL47/MRPL48/MRPL52/MRPL54/MRPL55/MRPL9/MRPS10/MRPS11/MRPS12/MRPS14/MRPS15/MRPS17/MRPS18C/MRPS2/MRPS21/MRPS22/MRPS23/MRPS25/MRPS30/MRPS33/MRPS35/MRPS5/MRPS7/MRPS9/MTERF2/MTO1/NGRN/OXA1L/POLRMT/PTCD3/RARS2/RMND1/SUPV3L1/TEFM/TFB2M/TRMT10C/TRMT61B/TRNT1/TUFM/YARS2",78
"GO:0006836","neurotransmitter transport","89/3836","209/18986",0.425837320574163,2.10765051314417,8.10216487325079,1.26429808036229e-13,8.13123513936970e-11,6.14436649526609e-11,"ABCC8/ATP1A2/ATP2A2/BLOC1S6/CACNB4/CADPS/CADPS2/CAMK2A/CDK5/CPLX1/CPLX2/CSPG5/DOC2A/DRD1/DTNBP1/DVL1/ERC2/FBXO45/FLOT1/GFAP/GPER1/GPM6B/GPR158/ICA1/ITGB1/KCNJ10/KCNMB4/LIN7A/LIN7B/LIN7C/LRRK2/MCTP1/MEF2C/MYOF/NAPA/NAPB/NRXN1/P2RX7/PARK7/PCLO/PFN2/PNKD/PPFIA2/PPT1/PREPL/PRKCB/PRKCG/PTPRN2/RAB3B/RAP1A/RIMS1/RPH3A/SCRIB/SLC17A6/SLC17A7/SLC18B1/SLC1A1/SLC1A2/SLC1A3/SLC1A6/SLC22A3/SLC29A4/SLC32A1/SLC38A1/SLC38A2/SLC4A8/SLC6A12/SLC6A13/SLC6A15/SLC6A17/SNAP25/SNAP29/SNCA/STX1A/STXBP1/SV2B/SYN1/SYN2/SYNGR3/SYNJ1/SYP/SYT1/SYT4/SYT5/TOR1A/TPRG1L/UNC13A/UNC13B/VAMP2",89
"GO:0042773","ATP synthesis coupled electron transport","54/3836","101/18986",0.534653465346535,2.64622802217657,8.34700100661834,1.290262637158e-13,8.13123513936970e-11,6.14436649526609e-11,"CCNB1/CHCHD2/COQ9/COX4I1/COX5A/COX5B/COX6A1/COX6B1/COX6C/COX7A1/COX7B/COX7C/CYC1/CYCS/DGUOK/DLD/GHITM/NDUFA1/NDUFA10/NDUFA12/NDUFA2/NDUFA3/NDUFA4/NDUFA5/NDUFA6/NDUFA7/NDUFA8/NDUFA9/NDUFAB1/NDUFAF1/NDUFB10/NDUFB4/NDUFB5/NDUFB6/NDUFB7/NDUFB8/NDUFS1/NDUFS2/NDUFS3/NDUFS6/NDUFS7/NDUFV1/NDUFV2/NDUFV3/PARK7/PINK1/SDHA/SDHB/SNCA/UQCR10/UQCRC1/UQCRC2/UQCRFS1/UQCRQ",54
"GO:0042775","mitochondrial ATP synthesis coupled electron transport","54/3836","101/18986",0.534653465346535,2.64622802217657,8.34700100661834,1.290262637158e-13,8.13123513936970e-11,6.14436649526609e-11,"CCNB1/CHCHD2/COQ9/COX4I1/COX5A/COX5B/COX6A1/COX6B1/COX6C/COX7A1/COX7B/COX7C/CYC1/CYCS/DGUOK/DLD/GHITM/NDUFA1/NDUFA10/NDUFA12/NDUFA2/NDUFA3/NDUFA4/NDUFA5/NDUFA6/NDUFA7/NDUFA8/NDUFA9/NDUFAB1/NDUFAF1/NDUFB10/NDUFB4/NDUFB5/NDUFB6/NDUFB7/NDUFB8/NDUFS1/NDUFS2/NDUFS3/NDUFS6/NDUFS7/NDUFV1/NDUFV2/NDUFV3/PARK7/PINK1/SDHA/SDHB/SNCA/UQCR10/UQCRC1/UQCRC2/UQCRFS1/UQCRQ",54
