"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Neurodegenerative disease","hsa05016","Huntington disease","142/1977","311/8866",0.456591639871383,2.04761835058153,10.0748339494223,1.2790568109903e-20,4.42553656602642e-18,3.01588132275607e-18,"55860/10121/10120/160/161/163/1173/1175/60673/55102/627/774/1211/1212/1213/1327/9377/1329/1337/1340/1345/1346/1349/1350/1387/1537/54205/10540/11258/84516/10671/1770/2033/2890/2892/2893/2902/3065/3092/3064/3708/3766/3831/4217/5602/5599/5601/2475/4694/4705/126328/55967/51079/4695/4696/4697/4698/4700/4701/4702/4704/4706/4716/54539/4710/4711/4712/4713/4714/4719/4720/4722/4726/374291/4723/4729/4731/29982/30849/23236/5431/5432/5434/5438/5440/5441/5682/5684/5686/5688/5689/5690/5691/5692/5693/5694/5695/5700/5701/5702/5704/5705/5706/5707/5717/5718/5719/10213/5710/9861/5713/5714/5978/6389/6390/6506/6507/291/292/293/6647/6667/6804/6874/6908/9519/7052/10376/84790/7277/203068/7280/10383/84617/9706/29796/7384/7385/7386/27089/7416/7417",142
"Human Diseases","Neurodegenerative disease","hsa05012","Parkinson disease","125/1977","271/8866",0.461254612546125,2.068529790002,9.57002234315831,1.03110592062243e-18,1.78381324267681e-16,1.21561961168118e-16,"22926/801/815/816/817/1327/9377/1329/1337/1340/1345/1346/1349/1350/1537/54205/1812/1843/1965/2770/2774/2778/3708/3709/3831/120892/4217/5602/5599/5601/4137/55669/4694/4705/126328/55967/51079/4695/4696/4697/4698/4700/4701/4702/4704/4706/4716/54539/4710/4711/4712/4713/4714/4719/4720/4722/4726/374291/4723/4729/4731/11315/65018/5335/5567/5682/5684/5686/5688/5689/5690/5691/5692/5693/5694/5695/5700/5701/5702/5704/5705/5706/5707/5717/5718/5719/10213/5710/9861/5713/5714/6263/6389/6390/291/292/293/57181/221074/29985/55334/6622/6647/10131/10376/84790/7277/203068/7280/10383/84617/7295/7317/7316/7326/7332/7345/29796/7384/7385/7386/27089/7416/7417/7494",125
"Human Diseases","Neurodegenerative disease","hsa05022","Pathways of neurodegeneration - multiple diseases","188/1977","483/8866",0.389233954451346,1.74554792117634,9.02638821559274,1.63232586711837e-17,1.88261583340985e-15,1.28295085696321e-15,"55860/10121/10120/57679/22926/60673/55102/488/596/627/203228/774/776/801/815/816/817/823/840/847/1020/8851/25978/1128/1131/1327/9377/1329/1337/1340/1345/1346/1349/1350/1452/1459/1460/1499/1537/54205/10540/11258/84516/10671/1770/1855/1856/1965/9896/8324/2890/2892/2893/2902/2903/2911/2932/3092/3064/3708/3709/3831/120892/81631/5604/4217/5594/5602/5599/5601/4137/55669/2475/4694/4705/126328/55967/51079/4695/4696/4697/4698/4700/4701/4702/4704/4706/4716/54539/4710/4711/4712/4713/4714/4719/4720/4722/4726/374291/4723/4729/4731/4744/4747/4741/29982/10133/11315/5173/30849/65018/23236/5335/5481/5530/5532/5534/5579/5582/5621/5682/5684/5686/5688/5689/5690/5691/5692/5693/5694/5695/5700/5701/5702/5704/5705/5706/5707/5717/5718/5719/10213/5710/9861/5713/5714/5861/116442/5879/5970/6262/6263/6389/6390/291/292/293/6622/6647/80208/8878/6804/29110/7132/10131/10376/84790/7277/203068/7280/10383/84617/7317/7316/7326/7332/7345/9706/29796/7384/7385/7386/27089/9217/7415/7416/7417/7494",188
"Human Diseases","Neurodegenerative disease","hsa05020","Prion disease","121/1977","278/8866",0.435251798561151,1.95191828327929,8.63854620737095,9.58495579628034e-16,8.2909867637825e-14,5.65007920622841e-14,"712/713/714/774/776/857/1327/9377/1329/1337/1340/1345/1346/1349/1350/1459/1460/1537/54205/1958/1965/2534/2902/2903/116443/2932/3310/3708/3709/3831/3915/5594/5602/5599/5601/4684/4694/4705/126328/55967/51079/4695/4696/4697/4698/4700/4701/4702/4704/4706/4716/54539/4710/4711/4712/4713/4714/4719/4720/4722/4726/374291/4723/4729/4731/4851/5291/5530/5532/5534/5567/5621/5682/5684/5686/5688/5689/5690/5691/5692/5693/5694/5695/5700/5701/5702/5704/5705/5706/5707/5717/5718/5719/10213/5710/9861/5713/5714/5879/6262/6263/6389/6390/291/292/293/6647/10376/84790/7277/203068/7280/10383/84617/29796/7384/7385/7386/27089/7416/7417",121
"Human Diseases","Neurodegenerative disease","hsa05014","Amyotrophic lateral sclerosis","149/1977","371/8866",0.401617250673854,1.80108171192433,8.44397021452417,2.0985691737779e-15,1.4522098682543e-13,9.89641041949997e-14,"60/55860/10121/10120/57679/311/310/22926/60673/55102/596/203228/847/400916/25978/1327/9377/1329/1337/1340/1345/1346/1349/1350/1537/54205/10540/11258/84516/10671/1770/1965/2066/9896/2890/2902/2903/3831/81631/4217/2475/4694/4705/126328/55967/51079/4695/4696/4697/4698/4700/4701/4702/4704/4706/4716/54539/4710/4711/4712/4713/4714/4719/4720/4722/4726/374291/4723/4729/4731/4744/4747/4741/29982/3084/10718/57122/55746/10762/79902/9688/10133/5217/30849/65018/5530/5532/5534/5682/5684/5686/5688/5689/5690/5691/5692/5693/5694/5695/5700/5701/5702/5704/5705/5706/5707/5717/5718/5719/10213/5710/9861/5713/5714/5861/116442/5879/5903/6389/6390/81929/23064/6506/6647/80208/8878/6428/6432/29110/7132/10376/84790/7277/203068/7280/10383/84617/29979/56893/9706/29796/7384/7385/7386/27089/9217/7415/7416/7494",149
"Human Diseases","Neurodegenerative disease","hsa05010","Alzheimer disease","148/1977","391/8866",0.378516624040921,1.69748527503632,7.5564564014987,7.89747390886083e-13,4.55420995410974e-11,3.10356869400847e-11,"10000/22926/60673/55102/488/25825/776/801/823/840/1020/8851/1128/1131/1327/9377/1329/1337/1340/1345/1346/1349/1350/1452/1459/1460/1499/1537/54205/1855/1856/5610/1965/8324/2597/2902/2903/2932/3551/8660/3708/3709/3831/4023/5604/4217/5594/5602/5599/5601/4137/2475/8883/4694/4705/126328/55967/51079/4695/4696/4697/4698/4700/4701/4702/4704/4706/4716/54539/4710/4711/4712/4713/4714/4719/4720/4722/4726/374291/4723/4729/4731/29982/5291/30849/23236/5481/5530/5532/5534/55851/5682/5684/5686/5688/5689/5690/5691/5692/5693/5694/5695/5700/5701/5702/5704/5705/5706/5707/5717/5718/5719/10213/5710/9861/5713/5714/5970/10313/57142/6263/6389/6390/291/292/293/57181/221074/29985/55334/6622/7132/10376/84790/7277/203068/7280/10383/84617/9706/29796/7384/7385/7386/27089/7416/7417/7494",148
"Human Diseases","Neurodegenerative disease","hsa05017","Spinocerebellar ataxia","70/1977","144/8866",0.486111111111111,2.18000056201877,7.64750960795139,2.31586946497708e-12,1.14470119268867e-10,7.80082346097542e-11,"10939/10000/60673/55102/488/25814/54205/1600/2259/2890/2892/2902/2903/116443/2911/2959/3708/3709/4217/5602/5599/5601/2475/29982/4976/5173/5291/30849/23236/5579/5582/5682/5684/5686/5688/5689/5690/5691/5692/5693/5694/5695/5700/5701/5702/5704/5705/5706/5707/5717/5718/5719/10213/5710/9861/5713/5714/6095/6511/291/292/293/6667/6908/9519/9706/7416/7417/7436/7494",70
"Organismal Systems","Nervous system","hsa04723","Retrograde endocannabinoid signaling","71/1977","149/8866",0.476510067114094,2.13694398332502,7.49744504606878,5.41614567253961e-12,2.34248300337338e-10,1.59633767190641e-10,"107/774/776/1268/2554/2555/2557/2558/2561/2562/2563/2565/2566/2770/2775/59345/10681/2791/55970/54331/2785/2788/2890/2892/2893/2911/3708/3709/3760/3763/5594/5602/5599/5601/4694/4705/126328/55967/51079/4695/4696/4697/4698/4700/4701/4702/4704/4706/4716/54539/4710/4711/4712/4713/4714/4719/4720/4722/4726/374291/4723/4729/4731/23236/5567/5579/5582/22999/57084/57030/140679",71
"Organismal Systems","Nervous system","hsa04721","Synaptic vesicle cycle","45/1977","79/8866",0.569620253164557,2.5545033710455,7.43446143333275,2.2262318720079e-11,8.55862475238594e-10,5.83246712666398e-10,"160/161/163/1173/1175/535/533/527/9114/8992/523/526/528/51382/529/9550/51606/774/1211/1212/1213/10815/10814/1759/26052/8775/4905/22999/57084/57030/6505/6506/6507/6511/140679/6539/6540/6616/6804/6812/6857/10312/23025/10497/6844",45
"Human Diseases","Cardiovascular disease","hsa05415","Diabetic cardiomyopathy","86/1977","205/8866",0.419512195121951,1.88133288920143,6.83907711508367,1.56642646131209e-10,5.41983555613983e-09,3.69346870877798e-09,"10000/488/815/816/817/1277/1327/9377/1329/1337/1340/1345/1346/1349/1350/1537/2597/2673/2932/5602/5599/5601/25874/2475/4694/4705/126328/55967/51079/4695/4696/4697/4698/4700/4701/4702/4704/4706/4716/54539/4710/4711/4712/4713/4714/4719/4720/4722/4726/374291/4723/4729/4731/5160/5162/5165/5166/5291/23236/5350/5465/5499/5500/5579/5582/5590/5879/5970/6262/6389/6390/291/292/293/6513/4087/6667/7042/7046/29796/7384/7385/7386/27089/7416/7417",86
