"","GSE5281","GSE48350","GSE36980"
"1","MIR612 /// NEAT1","MIR612 /// NEAT1","FAM102B"
"2","LOC441155 /// ZC3H11A","OSMR","NRSN1"
"3","ANP32B","SLC7A2","TAGLN3"
"4","PCYOX1L","SERPINA3","CRHBP"
"5","ITPKB","YBX3","SNORA62"
"6","EP400","BCL6","GABRA5"
"7","COL27A1","ANO6","NNAT"
"8","FAM63A","RELL1","PPEF1"
"9","BBX","CLEC2B","RNU11"
"10","NLN","RFX4","LINC00643"
"11","KIAA0485","CALD1","CBLN4"
"12","PRR11","DDIT4","CACNG3"
"13","NAV1","GLIS3","SCG2"
"14","TFEB","TRIM47","TAC1"
"15","HIPK2","ZNRF1","NPTX2"
"16","METTL7A","MS4A6A","SVOP"
"17","TNPO1","SCARA3","HCN1"
"18","WNK1","LIMS1 /// LIMS3 /// LIMS3L","MMD"
"19","DCLRE1C","ADM","RAB27B"
"20","EPC1","CX3CL1","MET"
"21","POLR1B","ITPKB","ITGB4"
"22","JUND","LPP","NEUROD6"
"23","SLC12A7","MAFF","MAS1"
"24","DZIP3","CEBPD","NCALD"
"25","FAM161B","HSPB1","SNORD114-2"
"26","LPP","MECOM","PCSK1"
"27","RIOK3","S1PR3","GABRA1"
"28","C1orf61","HIST1H1C","GMPR"
"29","KDELR1","GFAP","CP"
"30","HIP1R","MSR1","SLN"
"31","FARSB","CD59","SPHKAP"
"32","APOPT1","TNFRSF1A","CALB1"
"33","LZTS2","RASSF8","C4B_2///C4B///C4A"
"34","ADAM33","SRGN","RAB3B"
"35","CASP6","APOLD1","EMP1"
"36","SARS","ATOH7","WIF1"
"37","MID1IP1","FKBP5","TXNIP"
"38","TNRC6C-AS1","LGALS3","SLC14A1"
"39","OCIAD1","CD163","HTR2A"
"40","SLC35E1","SWAP70","APLNR"
"41","NSUN6","MT1X","AQP1///AQP1"
"42","CMBL","CHI3L1","RNU4-2"
"43","NIT2","CSPG5","CCL2///CCL2"
"44","CCDC152","GADD45B","PDYN"
"45","RP11-194N12.2","MSN","IL1RL1"
"46","HSD17B7","VSIG4","CD44"
"47","ACACB","MIR6883 /// PER1",NA
"48","FMNL2","MARCH4",NA
"49","MKNK2","FCGR2A",NA
"50","RER1","S100A8",NA
